DEBUG:root:start insert company for 'AAPL'
DEBUG:root:insert value for 'AAPL' in '2017-04-24'
DEBUG:root:insert value for 'AAPL' in '2017-04-21'
DEBUG:root:insert value for 'AAPL' in '2017-04-20'
DEBUG:root:insert value for 'AAPL' in '2017-04-19'
DEBUG:root:insert value for 'AAPL' in '2017-04-18'
DEBUG:root:insert value for 'AAPL' in '2017-04-17'
DEBUG:root:insert value for 'AAPL' in '2017-04-13'
DEBUG:root:insert value for 'AAPL' in '2017-04-12'
DEBUG:root:insert value for 'AAPL' in '2017-04-11'
DEBUG:root:insert value for 'AAPL' in '2017-04-10'
DEBUG:root:insert value for 'AAPL' in '2017-04-07'
DEBUG:root:insert value for 'AAPL' in '2017-04-06'
DEBUG:root:insert value for 'AAPL' in '2017-04-05'
DEBUG:root:insert value for 'AAPL' in '2017-04-04'
DEBUG:root:insert value for 'AAPL' in '2017-04-03'
DEBUG:root:insert value for 'AAPL' in '2017-03-31'
DEBUG:root:insert value for 'AAPL' in '2017-03-30'
DEBUG:root:insert value for 'AAPL' in '2017-03-29'
DEBUG:root:insert value for 'AAPL' in '2017-03-28'
DEBUG:root:insert value for 'AAPL' in '2017-03-27'
DEBUG:root:insert value for 'AAPL' in '2017-03-24'
DEBUG:root:insert value for 'AAPL' in '2017-03-23'
DEBUG:root:insert value for 'AAPL' in '2017-03-22'
DEBUG:root:insert value for 'AAPL' in '2017-03-21'
DEBUG:root:insert value for 'AAPL' in '2017-03-20'
DEBUG:root:insert value for 'AAPL' in '2017-03-17'
DEBUG:root:insert value for 'AAPL' in '2017-03-16'
DEBUG:root:insert value for 'AAPL' in '2017-03-15'
DEBUG:root:insert value for 'AAPL' in '2017-03-14'
DEBUG:root:insert value for 'AAPL' in '2017-03-13'
DEBUG:root:insert value for 'AAPL' in '2017-03-10'
DEBUG:root:insert value for 'AAPL' in '2017-03-09'
DEBUG:root:insert value for 'AAPL' in '2017-03-08'
DEBUG:root:insert value for 'AAPL' in '2017-03-07'
DEBUG:root:insert value for 'AAPL' in '2017-03-06'
DEBUG:root:insert value for 'AAPL' in '2017-03-03'
DEBUG:root:insert value for 'AAPL' in '2017-03-02'
DEBUG:root:insert value for 'AAPL' in '2017-03-01'
DEBUG:root:insert value for 'AAPL' in '2017-02-28'
DEBUG:root:insert value for 'AAPL' in '2017-02-27'
DEBUG:root:insert value for 'AAPL' in '2017-02-24'
DEBUG:root:insert value for 'AAPL' in '2017-02-23'
DEBUG:root:insert value for 'AAPL' in '2017-02-22'
DEBUG:root:insert value for 'AAPL' in '2017-02-21'
DEBUG:root:insert value for 'AAPL' in '2017-02-17'
DEBUG:root:insert value for 'AAPL' in '2017-02-16'
DEBUG:root:insert value for 'AAPL' in '2017-02-15'
DEBUG:root:insert value for 'AAPL' in '2017-02-14'
DEBUG:root:insert value for 'AAPL' in '2017-02-13'
DEBUG:root:insert value for 'AAPL' in '2017-02-10'
DEBUG:root:insert value for 'AAPL' in '2017-02-09'
DEBUG:root:insert value for 'AAPL' in '2017-02-08'
DEBUG:root:insert value for 'AAPL' in '2017-02-07'
DEBUG:root:insert value for 'AAPL' in '2017-02-06'
DEBUG:root:insert value for 'AAPL' in '2017-02-03'
DEBUG:root:insert value for 'AAPL' in '2017-02-02'
DEBUG:root:insert value for 'AAPL' in '2017-02-01'
DEBUG:root:insert value for 'AAPL' in '2017-01-31'
DEBUG:root:insert value for 'AAPL' in '2017-01-30'
DEBUG:root:insert value for 'AAPL' in '2017-01-27'
DEBUG:root:insert value for 'AAPL' in '2017-01-26'
DEBUG:root:insert value for 'AAPL' in '2017-01-25'
DEBUG:root:insert value for 'AAPL' in '2017-01-24'
DEBUG:root:insert value for 'AAPL' in '2017-01-23'
DEBUG:root:insert value for 'AAPL' in '2017-01-20'
DEBUG:root:insert value for 'AAPL' in '2017-01-19'
DEBUG:root:insert value for 'AAPL' in '2017-01-18'
DEBUG:root:insert value for 'AAPL' in '2017-01-17'
DEBUG:root:insert value for 'AAPL' in '2017-01-13'
DEBUG:root:insert value for 'AAPL' in '2017-01-12'
DEBUG:root:insert value for 'AAPL' in '2017-01-11'
DEBUG:root:insert value for 'AAPL' in '2017-01-10'
DEBUG:root:insert value for 'AAPL' in '2017-01-09'
DEBUG:root:insert value for 'AAPL' in '2017-01-06'
DEBUG:root:insert value for 'AAPL' in '2017-01-05'
DEBUG:root:insert value for 'AAPL' in '2017-01-04'
DEBUG:root:insert value for 'AAPL' in '2017-01-03'
DEBUG:root:insert value for 'AAPL' in '2016-12-30'
DEBUG:root:insert value for 'AAPL' in '2016-12-29'
DEBUG:root:insert value for 'AAPL' in '2016-12-28'
DEBUG:root:insert value for 'AAPL' in '2016-12-27'
DEBUG:root:insert value for 'AAPL' in '2016-12-23'
DEBUG:root:insert value for 'AAPL' in '2016-12-22'
DEBUG:root:insert value for 'AAPL' in '2016-12-21'
DEBUG:root:insert value for 'AAPL' in '2016-12-20'
DEBUG:root:insert value for 'AAPL' in '2016-12-19'
DEBUG:root:insert value for 'AAPL' in '2016-12-16'
DEBUG:root:insert value for 'AAPL' in '2016-12-15'
DEBUG:root:insert value for 'AAPL' in '2016-12-14'
DEBUG:root:insert value for 'AAPL' in '2016-12-13'
